harvest_id,farmer_id,product_id,planting_date,harvest_date,quantity_kg,quality_assessment,post_harvest_loss_pct,storage_method,season,loaded_at
HRV0000078,FMR000041,PRD0080,2024-12-11,2025-03-25,2649.21,B,5.79,Hermetic Bags,2023-B,2025-12-06 15:51:42
HRV0000079,FMR000041,PRD0080,2025-05-09,2025-08-21,1776.68,C,19.44,Warehouse,2024-A,2025-12-06 15:51:42
HRV0000080,FMR000041,PRD0080,2025-01-24,2025-04-24,2440.36,A,20.36,Silo,2023-B,2025-12-06 15:51:42
HRV0000081,FMR000042,PRD0083,2024-10-10,2024-12-31,1045.04,B,13.83,Hermetic Bags,2023-B,2025-12-06 15:51:42
HRV0000082,FMR000043,PRD0083,2025-06-14,2025-09-01,1839.38,C,6.82,Silo,2023-B,2025-12-06 15:51:42
HRV0000083,FMR000044,PRD0086,2023-06-13,2025-06-16,636.39,A,6.55,Open Air,2023-A,2025-12-06 15:51:42
HRV0000084,FMR000045,PRD0100,2025-01-10,2025-04-17,1313.98,B,14.97,Traditional Granary,2023-B,2025-12-06 15:51:42
HRV0000085,FMR000045,PRD0100,2025-03-03,2025-06-03,1543.77,A,10.22,Traditional Granary,2023-B,2025-12-06 15:51:42
HRV0000086,FMR000045,PRD0100,2025-02-06,2025-05-06,1545.77,B,27.03,Traditional Granary,2023-B,2025-12-06 15:51:42
HRV0000087,FMR000046,PRD0070,2024-03-12,2025-03-09,35128.81,A,18.69,Open Air,2023-B,2025-12-06 15:51:42
HRV0000088,FMR000047,PRD0079,2025-07-19,2025-09-29,1651.27,A,22.08,Traditional Granary,2023-A,2025-12-06 15:51:42
HRV0000089,FMR000047,PRD0079,2025-04-27,2025-07-05,1341.94,B,17.88,Open Air,2024-A,2025-12-06 15:51:42
HRV0000090,FMR000048,PRD0072,2023-05-05,2025-05-02,28346.72,A,10.38,Hermetic Bags,2023-B,2025-12-06 15:51:42
HRV0000091,FMR000048,PRD0072,2023-10-13,2025-10-09,24237.82,A,21.56,Hermetic Bags,2024-A,2025-12-06 15:51:42
HRV0000092,FMR000048,PRD0072,2023-05-06,2025-04-30,18280.54,A,26.76,Silo,2023-B,2025-12-06 15:51:42
HRV0000093,FMR000049,PRD0095,2025-03-11,2025-06-10,5661.71,B,5.48,Open Air,2024-A,2025-12-06 15:51:42
HRV0000094,FMR000050,PRD0080,2024-11-14,2025-02-10,852.86,B,22.62,Warehouse,2024-A,2025-12-06 15:51:42
HRV0000095,FMR000050,PRD0080,2024-11-21,2025-03-03,1601.91,B,8.26,Open Air,2023-B,2025-12-06 15:51:42
HRV0000096,FMR000051,PRD0097,2025-06-04,2025-10-08,2006.71,C,10.61,Hermetic Bags,2023-B,2025-12-06 15:51:42
HRV0000097,FMR000052,PRD0097,2025-06-28,2025-11-02,853.94,A,14.63,Traditional Granary,2024-A,2025-12-06 15:51:42
HRV0000098,FMR000052,PRD0097,2024-09-26,2025-02-12,345.89,C,9.28,Traditional Granary,2023-B,2025-12-06 15:51:42
HRV0000099,FMR000052,PRD0097,2024-09-25,2025-02-03,705.73,C,14.55,Traditional Granary,2023-B,2025-12-06 15:51:42
HRV0000100,FMR000053,PRD0092,2025-05-02,2025-07-20,1519.41,C,23.81,Traditional Granary,2024-A,2025-12-06 15:51:42
HRV0000101,FMR000053,PRD0092,2025-03-24,2025-06-11,2037.95,A,20.74,Open Air,2023-A,2025-12-06 15:51:42
HRV0000102,FMR000053,PRD0092,2025-05-13,2025-08-09,717.74,B,21.11,Traditional Granary,2023-B,2025-12-06 15:51:42
HRV0000103,FMR000054,PRD0078,2025-01-01,2025-03-25,10442.83,A,24.28,Warehouse,2024-A,2025-12-06 15:51:42
HRV0000104,FMR000054,PRD0078,2025-03-24,2025-06-21,8749.36,B,21.33,Hermetic Bags,2023-A,2025-12-06 15:51:42
HRV0000105,FMR000055,PRD0099,2025-05-01,2025-08-22,3735.9,A,22.96,Hermetic Bags,2024-A,2025-12-06 15:51:42
HRV0000106,FMR000055,PRD0099,2025-03-19,2025-06-30,1639.67,B,15.34,Hermetic Bags,2023-A,2025-12-06 15:51:42
HRV0000107,FMR000055,PRD0099,2025-05-08,2025-09-01,2217.39,B,21.22,Warehouse,2024-A,2025-12-06 15:51:42
HRV0000108,FMR000056,PRD0086,2023-01-10,2025-01-18,12822.85,B,22.63,Open Air,2024-A,2025-12-06 15:51:42
HRV0000109,FMR000056,PRD0086,2023-05-15,2025-05-22,8726.73,A,22.06,Silo,2024-A,2025-12-06 15:51:42
HRV0000110,FMR000056,PRD0086,2023-01-02,2025-01-07,10257.75,A,26.49,Warehouse,2024-A,2025-12-06 15:51:42
HRV0000111,FMR000057,PRD0059,2024-12-27,2025-04-17,633.25,A,6.64,Silo,2024-A,2025-12-06 15:51:42
HRV0000112,FMR000057,PRD0059,2024-10-04,2025-02-03,1115.54,A,11.58,Open Air,2024-A,2025-12-06 15:51:42
HRV0000113,FMR000057,PRD0059,2024-11-16,2025-03-07,2615.97,A,21.48,Silo,2023-B,2025-12-06 15:51:42
HRV0000114,FMR000058,PRD0100,2025-06-13,2025-09-08,1470.83,A,14.21,Open Air,2023-A,2025-12-06 15:51:42
HRV0000115,FMR000058,PRD0100,2025-05-03,2025-08-07,874.81,A,27.2,Silo,2023-A,2025-12-06 15:51:42
HRV0000116,FMR000058,PRD0100,2024-11-30,2025-02-27,1256.62,A,22.54,Hermetic Bags,2023-B,2025-12-06 15:51:42
HRV0000117,FMR000059,PRD0079,2025-02-22,2025-04-27,4990.48,C,26.85,Silo,2024-A,2025-12-06 15:51:42
HRV0000118,FMR000059,PRD0079,2024-10-17,2024-12-20,5113.74,A,26.03,Hermetic Bags,2023-B,2025-12-06 15:51:42
HRV0000119,FMR000060,PRD0090,2023-01-09,2025-01-01,815.58,B,12.4,Hermetic Bags,2023-A,2025-12-06 15:51:42
HRV0000120,FMR000060,PRD0090,2023-11-10,2025-11-06,1187.21,A,19.94,Open Air,2024-A,2025-12-06 15:51:42
HRV0000121,FMR000060,PRD0090,2023-07-25,2025-07-18,955.16,A,6.7,Open Air,2023-B,2025-12-06 15:51:42
HRV0000122,FMR000061,PRD0097,2024-12-09,2025-04-18,1025.48,A,16.71,Silo,2024-A,2025-12-06 15:51:42
HRV0000123,FMR000062,PRD0091,2024-10-25,2025-02-06,6813.4,A,27.15,Silo,2023-A,2025-12-06 15:51:42
HRV0000124,FMR000063,PRD0062,2024-05-12,2025-04-11,758.0,B,18.9,Silo,2023-B,2025-12-06 15:51:42
HRV0000125,FMR000063,PRD0062,2024-05-11,2025-04-15,1299.09,C,6.7,Traditional Granary,2024-A,2025-12-06 15:51:42
HRV0000126,FMR000064,PRD0086,2023-10-13,2025-10-05,6489.49,A,18.7,Warehouse,2024-A,2025-12-06 15:51:42
HRV0000127,FMR000064,PRD0086,2023-11-11,2025-11-19,3385.82,B,18.64,Silo,2023-B,2025-12-06 15:51:42
HRV0000128,FMR000064,PRD0086,2023-11-17,2025-11-13,7600.62,B,18.84,Hermetic Bags,2023-A,2025-12-06 15:51:42
HRV0000129,FMR000065,PRD0060,2025-08-13,2025-10-15,35932.33,B,12.47,Warehouse,2023-B,2025-12-06 15:51:42
HRV0000130,FMR000065,PRD0060,2025-05-16,2025-07-19,20339.25,A,13.84,Warehouse,2023-A,2025-12-06 15:51:42
HRV0000131,FMR000066,PRD0058,2025-06-09,2025-10-01,38083.29,B,27.9,Hermetic Bags,2024-A,2025-12-06 15:51:42
HRV0000132,FMR000067,PRD0080,2025-08-11,2025-11-13,1338.01,B,22.78,Traditional Granary,2024-A,2025-12-06 15:51:42
HRV0000133,FMR000067,PRD0080,2025-04-03,2025-07-10,1054.11,C,27.67,Open Air,2023-A,2025-12-06 15:51:42
HRV0000134,FMR000067,PRD0080,2025-03-04,2025-05-27,1164.25,B,25.92,Traditional Granary,2023-A,2025-12-06 15:51:42
HRV0000135,FMR000068,PRD0059,2025-05-26,2025-09-09,1824.79,B,17.94,Hermetic Bags,2024-A,2025-12-06 15:51:42
HRV0000136,FMR000068,PRD0059,2024-11-04,2025-02-28,962.61,C,18.15,Open Air,2023-A,2025-12-06 15:51:42
HRV0000137,FMR000069,PRD0084,2025-05-10,2025-06-16,586.65,B,15.35,Warehouse,2024-A,2025-12-06 15:51:42
HRV0000138,FMR000069,PRD0084,2025-04-15,2025-05-08,585.41,B,27.4,Silo,2023-A,2025-12-06 15:51:42
HRV0000139,FMR000069,PRD0084,2025-08-18,2025-09-16,463.65,B,17.96,Hermetic Bags,2023-A,2025-12-06 15:51:42
HRV0000140,FMR000070,PRD0095,2025-02-18,2025-05-20,406.89,B,8.17,Open Air,2023-B,2025-12-06 15:51:42
HRV0000141,FMR000071,PRD0095,2025-07-07,2025-10-17,4717.11,B,15.67,Hermetic Bags,2023-B,2025-12-06 15:51:42
HRV0000142,FMR000071,PRD0095,2024-10-12,2025-01-15,4776.45,A,22.31,Silo,2023-A,2025-12-06 15:51:42
HRV0000143,FMR000072,PRD0059,2025-01-25,2025-05-11,1035.33,A,15.23,Open Air,2023-A,2025-12-06 15:51:42
HRV0000144,FMR000072,PRD0059,2024-09-09,2025-01-06,545.18,A,14.36,Silo,2023-B,2025-12-06 15:51:42
HRV0000145,FMR000073,PRD0091,2024-10-07,2025-01-06,831.04,A,29.14,Traditional Granary,2023-A,2025-12-06 15:51:42
HRV0000146,FMR000073,PRD0091,2025-08-05,2025-11-01,1236.9,B,14.96,Hermetic Bags,2024-A,2025-12-06 15:51:42
HRV0000147,FMR000073,PRD0091,2025-07-17,2025-10-14,1524.93,A,14.86,Hermetic Bags,2023-B,2025-12-06 15:51:42
HRV0000148,FMR000074,PRD0100,2024-08-29,2024-12-10,6208.1,C,6.59,Hermetic Bags,2023-A,2025-12-06 15:51:42
HRV0000149,FMR000075,PRD0091,2025-07-14,2025-10-07,1424.19,A,10.61,Hermetic Bags,2023-B,2025-12-06 15:51:42
HRV0000150,FMR000075,PRD0091,2024-10-21,2025-01-18,2119.0,C,27.95,Traditional Granary,2023-B,2025-12-06 15:51:42
HRV0000151,FMR000075,PRD0091,2025-07-30,2025-10-25,990.19,C,11.67,Hermetic Bags,2024-A,2025-12-06 15:51:42
HRV0000152,FMR000076,PRD0062,2024-03-05,2025-02-03,913.52,B,12.32,Silo,2023-B,2025-12-06 15:51:42
HRV0000153,FMR000076,PRD0062,2024-08-30,2025-07-27,5201.03,C,10.16,Silo,2023-A,2025-12-06 15:51:42
HRV0000154,FMR000077,PRD0072,2023-03-25,2025-03-28,1533.24,C,12.27,Silo,2023-B,2025-12-06 15:51:42
HRV0000155,FMR000078,PRD0098,2025-02-08,2025-06-07,1162.26,C,6.41,Silo,2023-A,2025-12-06 15:51:42
HRV0000156,FMR000078,PRD0098,2024-08-28,2024-12-22,660.1,B,21.74,Hermetic Bags,2024-A,2025-12-06 15:51:42
HRV0000157,FMR000079,PRD0090,2022-12-13,2024-12-08,783.76,A,23.29,Hermetic Bags,2023-A,2025-12-06 15:51:42
HRV0000158,FMR000080,PRD0095,2024-10-03,2024-12-28,1520.46,B,14.35,Silo,2024-A,2025-12-06 15:51:42
HRV0000159,FMR000081,PRD0080,2025-08-10,2025-11-04,1710.87,A,28.81,Open Air,2023-B,2025-12-06 15:51:42
HRV0000160,FMR000082,PRD0099,2024-12-20,2025-04-08,18208.51,A,14.73,Hermetic Bags,2023-A,2025-12-06 15:51:42
HRV0000161,FMR000082,PRD0099,2025-03-07,2025-06-19,22860.56,B,17.6,Open Air,2024-A,2025-12-06 15:51:42
HRV0000162,FMR000082,PRD0099,2025-03-19,2025-07-15,35692.98,B,19.85,Open Air,2023-A,2025-12-06 15:51:42
HRV0000163,FMR000083,PRD0073,2024-08-14,2025-01-12,2598.9,A,17.41,Warehouse,2024-A,2025-12-06 15:51:42
HRV0000164,FMR000083,PRD0073,2025-05-02,2025-09-27,986.71,B,20.71,Open Air,2023-B,2025-12-06 15:51:42
HRV0000165,FMR000084,PRD0064,2024-11-10,2025-02-23,1783.82,A,21.81,Hermetic Bags,2023-B,2025-12-06 15:51:42
HRV0000166,FMR000084,PRD0064,2025-01-27,2025-05-06,1771.3,C,9.14,Open Air,2023-A,2025-12-06 15:51:42
HRV0000167,FMR000084,PRD0064,2025-06-26,2025-10-03,668.14,B,13.35,Silo,2023-A,2025-12-06 15:51:42
HRV0000168,FMR000085,PRD0100,2025-06-29,2025-10-05,1695.5,B,23.81,Traditional Granary,2024-A,2025-12-06 15:51:42
HRV0000169,FMR000085,PRD0100,2025-08-08,2025-11-06,909.8,C,24.56,Warehouse,2023-A,2025-12-06 15:51:42
HRV0000170,FMR000086,PRD0072,2023-06-20,2025-06-14,548.7,A,10.11,Silo,2024-A,2025-12-06 15:51:42
HRV0000171,FMR000087,PRD0078,2025-02-06,2025-05-08,1340.12,C,8.2,Traditional Granary,2023-A,2025-12-06 15:51:42
HRV0000172,FMR000087,PRD0078,2025-02-22,2025-05-17,919.71,B,24.24,Silo,2023-A,2025-12-06 15:51:42
HRV0000173,FMR000087,PRD0078,2024-10-18,2025-01-03,1545.8,B,16.98,Traditional Granary,2023-B,2025-12-06 15:51:42
HRV0000174,FMR000088,PRD0095,2025-01-03,2025-04-13,507.53,C,8.08,Warehouse,2024-A,2025-12-06 15:51:42
HRV0000175,FMR000088,PRD0095,2025-02-26,2025-06-10,324.37,B,18.29,Hermetic Bags,2023-B,2025-12-06 15:51:42
HRV0000176,FMR000089,PRD0075,2022-04-26,2025-04-30,3481.42,B,26.67,Open Air,2023-A,2025-12-06 15:51:42
HRV0000177,FMR000089,PRD0075,2022-03-18,2025-03-16,2112.64,A,7.17,Hermetic Bags,2024-A,2025-12-06 15:51:42
HRV0000178,FMR000090,PRD0100,2024-12-02,2025-03-11,694.57,A,22.94,Hermetic Bags,2023-A,2025-12-06 15:51:42
HRV0000179,FMR000090,PRD0100,2025-07-19,2025-10-21,591.01,B,24.09,Traditional Granary,2023-B,2025-12-06 15:51:42
HRV0000180,FMR000091,PRD0073,2025-06-01,2025-10-26,1888.76,C,29.87,Silo,2023-A,2025-12-06 15:51:42
HRV0000181,FMR000091,PRD0073,2025-02-07,2025-07-06,1604.26,C,15.49,Traditional Granary,2023-A,2025-12-06 15:51:42
HRV0000182,FMR000091,PRD0073,2025-03-23,2025-08-23,2655.43,A,18.64,Silo,2024-A,2025-12-06 15:51:42
HRV0000183,FMR000092,PRD0095,2025-06-22,2025-10-01,595.41,B,16.3,Hermetic Bags,2023-A,2025-12-06 15:51:42
HRV0000184,FMR000093,PRD0076,2022-04-26,2025-04-18,2304.23,A,25.71,Silo,2024-A,2025-12-06 15:51:42
HRV0000185,FMR000094,PRD0098,2024-11-20,2025-03-29,7216.39,B,24.43,Hermetic Bags,2023-B,2025-12-06 15:51:42
HRV0000186,FMR000094,PRD0098,2025-06-30,2025-10-31,7805.49,B,29.93,Open Air,2023-A,2025-12-06 15:51:42
HRV0000187,FMR000095,PRD0080,2025-03-20,2025-06-28,2214.41,B,21.22,Warehouse,2023-A,2025-12-06 15:51:42
HRV0000188,FMR000095,PRD0080,2024-11-23,2025-03-07,512.01,B,6.97,Warehouse,2023-B,2025-12-06 15:51:42
HRV0000189,FMR000096,PRD0070,2023-11-28,2024-12-09,826.38,C,9.9,Silo,2023-B,2025-12-06 15:51:42
HRV0000190,FMR000096,PRD0070,2024-05-09,2025-05-11,460.63,B,20.08,Open Air,2023-B,2025-12-06 15:51:42
HRV0000191,FMR000097,PRD0095,2024-11-20,2025-02-24,1837.07,B,26.79,Hermetic Bags,2024-A,2025-12-06 15:51:42
HRV0000192,FMR000097,PRD0095,2024-08-23,2024-12-07,2044.24,C,25.49,Open Air,2023-B,2025-12-06 15:51:42
HRV0000193,FMR000097,PRD0095,2024-10-21,2025-01-31,2350.12,A,15.88,Silo,2023-A,2025-12-06 15:51:42
HRV0000194,FMR000098,PRD0064,2024-08-15,2024-12-08,530.12,B,19.07,Open Air,2024-A,2025-12-06 15:51:42
HRV0000195,FMR000099,PRD0072,2023-04-15,2025-04-11,1330.14,B,16.06,Silo,2023-A,2025-12-06 15:51:42
HRV0000196,FMR000100,PRD0058,2025-03-09,2025-06-23,3283.53,A,26.36,Open Air,2023-A,2025-12-06 15:51:42
HRV0000197,FMR000100,PRD0058,2024-10-11,2025-02-10,3986.85,B,27.39,Warehouse,2023-B,2025-12-06 15:51:42
HRV0000198,FMR000101,PRD0059,2024-12-29,2025-04-17,6218.04,A,13.8,Silo,2024-A,2025-12-06 15:51:42
HRV0000199,FMR000101,PRD0059,2025-03-09,2025-07-09,12371.46,B,17.97,Open Air,2024-A,2025-12-06 15:51:42
HRV0000200,FMR000102,PRD0072,2023-10-09,2025-10-10,732.96,A,7.4,Silo,2023-B,2025-12-06 15:51:42
HRV0000201,FMR000102,PRD0072,2023-08-20,2025-08-12,1709.05,A,11.65,Hermetic Bags,2023-B,2025-12-06 15:51:42
HRV0000202,FMR000102,PRD0072,2023-10-16,2025-10-16,1469.47,A,14.53,Warehouse,2023-A,2025-12-06 15:51:42
HRV0000203,FMR000103,PRD0060,2025-07-25,2025-10-08,2557.98,A,24.68,Silo,2023-A,2025-12-06 15:51:42
