weather_id,district,weather_date,temperature_min,temperature_max,temperature_avg,rainfall_mm,humidity_pct,wind_speed_kmh,weather_condition,source,loaded_at
WTH00000032,Kampala,2025-01-06,19.74,33.11,25.97,0.0,83.67,16.13,Sunny,AgriMet Service,2025-12-06 15:51:42
WTH00000033,Kampala,2025-01-07,14.93,30.01,22.88,2.13,88.21,2.95,Cloudy,AgriMet Service,2025-12-06 15:51:42
WTH00000034,Kampala,2025-01-08,18.69,34.14,26.34,0.0,76.97,9.11,Cloudy,AgriMet Service,2025-12-06 15:51:42
WTH00000035,Kampala,2025-01-09,18.56,33.59,26.4,0.0,52.12,8.17,Sunny,AgriMet Service,2025-12-06 15:51:42
WTH00000036,Kampala,2025-01-10,19.22,33.15,25.9,0.0,56.3,10.79,Sunny,AgriMet Service,2025-12-06 15:51:42
WTH00000037,Kampala,2025-01-11,16.37,28.51,22.16,3.56,83.15,3.97,Cloudy,AgriMet Service,2025-12-06 15:51:42
WTH00000038,Kampala,2025-01-12,17.24,29.11,22.54,0.0,89.23,15.72,Partly Cloudy,AgriMet Service,2025-12-06 15:51:42
WTH00000039,Kampala,2025-01-13,18.49,29.74,24.07,0.0,89.57,4.58,Partly Cloudy,AgriMet Service,2025-12-06 15:51:42
WTH00000040,Kampala,2025-01-14,19.55,33.51,26.93,5.49,80.0,7.24,Cloudy,AgriMet Service,2025-12-06 15:51:42
WTH00000041,Kampala,2025-01-15,19.53,31.26,24.72,0.0,76.76,11.94,Cloudy,AgriMet Service,2025-12-06 15:51:42
WTH00000042,Kampala,2025-01-16,19.93,33.25,26.4,0.0,51.68,15.84,Sunny,AgriMet Service,2025-12-06 15:51:42
WTH00000043,Kampala,2025-01-17,18.88,32.32,24.71,5.98,70.02,8.69,Cloudy,AgriMet Service,2025-12-06 15:51:42
WTH00000044,Kampala,2025-01-18,21.42,33.78,26.47,0.0,85.66,4.98,Partly Cloudy,AgriMet Service,2025-12-06 15:51:42
WTH00000045,Kampala,2025-01-19,16.72,28.37,22.3,0.0,77.41,13.27,Partly Cloudy,AgriMet Service,2025-12-06 15:51:42
WTH00000046,Kampala,2025-01-20,17.55,29.98,24.6,0.0,57.75,16.47,Sunny,AgriMet Service,2025-12-06 15:51:42
WTH00000047,Kampala,2025-01-21,15.23,27.53,22.33,5.36,81.08,17.72,Cloudy,AgriMet Service,2025-12-06 15:51:42
WTH00000048,Kampala,2025-01-22,15.94,29.75,23.66,0.0,50.41,8.7,Cloudy,AgriMet Service,2025-12-06 15:51:42
WTH00000049,Kampala,2025-01-23,16.45,31.34,23.82,0.0,69.14,15.05,Cloudy,AgriMet Service,2025-12-06 15:51:42
WTH00000050,Kampala,2025-01-24,17.39,29.31,24.12,0.0,81.72,15.0,Cloudy,AgriMet Service,2025-12-06 15:51:42
WTH00000051,Kampala,2025-01-25,20.44,31.83,26.46,0.0,54.42,18.45,Cloudy,AgriMet Service,2025-12-06 15:51:42
WTH00000052,Kampala,2025-01-26,17.59,30.19,23.64,0.0,71.26,7.8,Sunny,AgriMet Service,2025-12-06 15:51:42
WTH00000053,Kampala,2025-01-27,19.1,33.01,26.22,0.0,67.63,2.86,Partly Cloudy,AgriMet Service,2025-12-06 15:51:42
WTH00000054,Kampala,2025-01-28,15.77,27.97,22.9,0.0,85.77,0.47,Cloudy,AgriMet Service,2025-12-06 15:51:42
WTH00000055,Kampala,2025-01-29,15.77,27.7,22.0,0.0,58.52,2.78,Sunny,AgriMet Service,2025-12-06 15:51:42
WTH00000056,Kampala,2025-01-30,17.9,32.5,25.85,0.0,63.04,2.68,Sunny,AgriMet Service,2025-12-06 15:51:42
WTH00000057,Kampala,2025-01-31,18.79,31.24,23.91,0.0,64.4,18.33,Partly Cloudy,AgriMet Service,2025-12-06 15:51:42
WTH00000058,Kampala,2025-02-01,17.6,30.55,24.46,0.0,51.7,11.98,Sunny,AgriMet Service,2025-12-06 15:51:42
WTH00000059,Kampala,2025-02-02,15.61,27.07,22.03,0.0,87.86,15.94,Cloudy,AgriMet Service,2025-12-06 15:51:42
WTH00000060,Kampala,2025-02-03,19.86,34.75,26.81,0.0,69.58,17.04,Sunny,AgriMet Service,2025-12-06 15:51:42
WTH00000061,Kampala,2025-02-04,19.13,33.91,26.35,0.0,70.29,5.32,Sunny,AgriMet Service,2025-12-06 15:51:42
WTH00000062,Kampala,2025-02-05,19.68,31.75,25.36,0.0,73.0,12.69,Cloudy,AgriMet Service,2025-12-06 15:51:42
WTH00000063,Kampala,2025-02-06,18.06,28.59,23.55,0.0,61.46,5.03,Cloudy,AgriMet Service,2025-12-06 15:51:42
WTH00000064,Kampala,2025-02-07,21.16,31.57,26.18,0.0,58.66,9.79,Sunny,AgriMet Service,2025-12-06 15:51:42
WTH00000065,Kampala,2025-02-08,18.16,29.14,24.1,0.0,59.32,4.61,Sunny,AgriMet Service,2025-12-06 15:51:42
WTH00000066,Kampala,2025-02-09,17.25,30.99,23.53,0.25,85.16,15.0,Cloudy,AgriMet Service,2025-12-06 15:51:42
WTH00000067,Kampala,2025-02-10,19.42,32.66,26.3,0.0,51.32,12.66,Cloudy,AgriMet Service,2025-12-06 15:51:42
WTH00000068,Kampala,2025-02-11,18.06,30.33,23.6,0.0,78.75,14.43,Cloudy,AgriMet Service,2025-12-06 15:51:42
WTH00000069,Kampala,2025-02-12,19.19,29.7,24.4,0.0,86.62,6.86,Partly Cloudy,AgriMet Service,2025-12-06 15:51:42
WTH00000070,Kampala,2025-02-13,18.94,31.14,23.99,0.0,70.48,0.04,Cloudy,AgriMet Service,2025-12-06 15:51:42
WTH00000071,Kampala,2025-02-14,15.72,29.22,22.72,0.0,60.49,4.6,Cloudy,AgriMet Service,2025-12-06 15:51:42
WTH00000072,Kampala,2025-02-15,17.88,32.44,25.26,0.68,88.55,16.3,Cloudy,AgriMet Service,2025-12-06 15:51:42
WTH00000073,Kampala,2025-02-16,18.26,31.38,24.81,0.0,59.03,18.64,Partly Cloudy,AgriMet Service,2025-12-06 15:51:42
WTH00000074,Kampala,2025-02-17,18.39,31.49,24.98,0.0,51.18,6.01,Cloudy,AgriMet Service,2025-12-06 15:51:42
WTH00000075,Kampala,2025-02-18,16.56,30.22,23.73,0.0,79.53,16.3,Partly Cloudy,AgriMet Service,2025-12-06 15:51:42
WTH00000076,Kampala,2025-02-19,17.63,30.35,22.63,1.79,53.24,18.04,Cloudy,AgriMet Service,2025-12-06 15:51:42
WTH00000077,Kampala,2025-02-20,17.35,28.7,23.59,0.0,85.18,7.56,Cloudy,AgriMet Service,2025-12-06 15:51:42
WTH00000078,Kampala,2025-02-21,18.18,29.18,23.27,15.59,80.74,0.33,Rainy,AgriMet Service,2025-12-06 15:51:42
WTH00000079,Kampala,2025-02-22,18.96,31.65,24.19,0.0,84.55,5.96,Partly Cloudy,AgriMet Service,2025-12-06 15:51:42
WTH00000080,Kampala,2025-02-23,17.83,30.37,24.35,0.0,69.13,1.36,Cloudy,AgriMet Service,2025-12-06 15:51:42
WTH00000081,Kampala,2025-02-24,16.42,30.01,23.74,12.27,73.55,4.99,Rainy,AgriMet Service,2025-12-06 15:51:42
WTH00000082,Kampala,2025-02-25,16.45,28.99,22.44,0.0,75.01,13.02,Cloudy,AgriMet Service,2025-12-06 15:51:42
WTH00000083,Kampala,2025-02-26,20.42,32.75,25.59,5.13,81.69,9.0,Cloudy,AgriMet Service,2025-12-06 15:51:42
WTH00000084,Kampala,2025-02-27,19.71,33.35,25.61,0.0,55.63,1.06,Partly Cloudy,AgriMet Service,2025-12-06 15:51:42
WTH00000085,Kampala,2025-02-28,17.08,29.79,24.02,0.0,61.53,6.93,Partly Cloudy,AgriMet Service,2025-12-06 15:51:42
WTH00000086,Kampala,2025-03-01,19.91,31.87,26.03,0.0,53.52,10.15,Partly Cloudy,AgriMet Service,2025-12-06 15:51:42
WTH00000087,Kampala,2025-03-02,18.83,31.67,26.57,18.73,66.4,17.39,Rainy,AgriMet Service,2025-12-06 15:51:42
WTH00000088,Kampala,2025-03-03,15.37,28.19,22.29,0.0,57.64,9.93,Partly Cloudy,AgriMet Service,2025-12-06 15:51:42
WTH00000089,Kampala,2025-03-04,20.29,33.47,25.78,7.78,73.13,17.29,Cloudy,AgriMet Service,2025-12-06 15:51:42
WTH00000090,Kampala,2025-03-05,16.9,29.99,22.81,7.22,55.12,18.97,Cloudy,AgriMet Service,2025-12-06 15:51:42
WTH00000091,Kampala,2025-03-06,19.01,30.27,24.15,12.86,53.15,19.56,Rainy,AgriMet Service,2025-12-06 15:51:42
WTH00000092,Kampala,2025-03-07,17.55,32.74,24.91,0.0,81.31,16.63,Cloudy,AgriMet Service,2025-12-06 15:51:42
WTH00000093,Kampala,2025-03-08,17.74,30.28,24.85,9.08,67.17,16.63,Cloudy,AgriMet Service,2025-12-06 15:51:42
WTH00000094,Kampala,2025-03-09,20.04,32.23,25.31,0.0,84.36,19.67,Sunny,AgriMet Service,2025-12-06 15:51:42
WTH00000095,Kampala,2025-03-10,16.67,29.8,22.24,0.0,59.53,15.03,Sunny,AgriMet Service,2025-12-06 15:51:42
WTH00000096,Kampala,2025-03-11,17.35,31.48,24.28,0.89,51.35,17.06,Cloudy,AgriMet Service,2025-12-06 15:51:42
WTH00000097,Kampala,2025-03-12,19.45,30.05,24.53,9.43,61.56,16.6,Cloudy,AgriMet Service,2025-12-06 15:51:42
WTH00000098,Kampala,2025-03-13,15.87,30.5,23.18,0.0,53.35,0.1,Sunny,AgriMet Service,2025-12-06 15:51:42
WTH00000099,Kampala,2025-03-14,20.02,33.6,26.84,0.0,65.35,11.78,Cloudy,AgriMet Service,2025-12-06 15:51:42
WTH00000100,Kampala,2025-03-15,21.32,33.49,26.6,70.09,80.04,12.28,Stormy,AgriMet Service,2025-12-06 15:51:42
WTH00000101,Kampala,2025-03-16,20.25,34.04,26.71,0.0,85.01,19.42,Partly Cloudy,AgriMet Service,2025-12-06 15:51:42
WTH00000102,Kampala,2025-03-17,17.79,30.39,24.23,35.89,61.28,4.16,Stormy,AgriMet Service,2025-12-06 15:51:42
WTH00000103,Kampala,2025-03-18,18.03,31.85,25.96,0.0,66.28,0.92,Partly Cloudy,AgriMet Service,2025-12-06 15:51:42
WTH00000104,Kampala,2025-03-19,18.13,30.15,24.58,0.0,60.72,15.44,Cloudy,AgriMet Service,2025-12-06 15:51:42
WTH00000105,Kampala,2025-03-20,16.55,30.34,23.49,0.0,59.31,8.77,Cloudy,AgriMet Service,2025-12-06 15:51:42
WTH00000106,Kampala,2025-03-21,19.4,32.7,25.46,0.0,62.93,16.18,Sunny,AgriMet Service,2025-12-06 15:51:42
WTH00000107,Kampala,2025-03-22,19.79,31.95,26.95,25.14,83.31,8.55,Rainy,AgriMet Service,2025-12-06 15:51:42
WTH00000108,Kampala,2025-03-23,14.97,28.58,22.42,0.0,75.5,10.99,Partly Cloudy,AgriMet Service,2025-12-06 15:51:42
WTH00000109,Kampala,2025-03-24,18.18,31.72,24.2,0.0,80.6,2.71,Sunny,AgriMet Service,2025-12-06 15:51:42
WTH00000110,Kampala,2025-03-25,17.03,30.16,22.66,20.86,54.41,8.34,Rainy,AgriMet Service,2025-12-06 15:51:42
WTH00000111,Kampala,2025-03-26,14.52,29.81,21.99,24.26,86.24,6.32,Rainy,AgriMet Service,2025-12-06 15:51:42
WTH00000112,Kampala,2025-03-27,16.96,31.53,24.49,0.0,63.43,19.9,Cloudy,AgriMet Service,2025-12-06 15:51:42
WTH00000113,Kampala,2025-03-28,19.53,30.95,24.81,0.0,62.31,4.72,Partly Cloudy,AgriMet Service,2025-12-06 15:51:42
WTH00000114,Kampala,2025-03-29,17.95,32.25,25.68,30.16,76.16,14.67,Stormy,AgriMet Service,2025-12-06 15:51:42
WTH00000115,Kampala,2025-03-30,18.9,32.19,26.53,0.0,78.02,16.44,Cloudy,AgriMet Service,2025-12-06 15:51:42
WTH00000116,Kampala,2025-03-31,14.79,28.22,22.06,0.0,83.0,9.14,Sunny,AgriMet Service,2025-12-06 15:51:42
WTH00000117,Kampala,2025-04-01,16.4,30.9,23.28,8.69,85.65,13.13,Cloudy,AgriMet Service,2025-12-06 15:51:42
WTH00000118,Kampala,2025-04-02,17.15,29.49,24.18,28.2,84.65,1.15,Rainy,AgriMet Service,2025-12-06 15:51:42
WTH00000119,Kampala,2025-04-03,17.58,32.1,25.38,56.76,51.68,0.85,Stormy,AgriMet Service,2025-12-06 15:51:42
WTH00000120,Kampala,2025-04-04,18.79,32.96,25.35,37.46,75.7,13.77,Stormy,AgriMet Service,2025-12-06 15:51:42
WTH00000121,Kampala,2025-04-05,15.07,29.85,22.87,52.85,69.22,0.95,Stormy,AgriMet Service,2025-12-06 15:51:42
WTH00000122,Kampala,2025-04-06,17.4,30.85,24.78,40.3,78.35,5.25,Stormy,AgriMet Service,2025-12-06 15:51:42
WTH00000123,Kampala,2025-04-07,15.25,27.99,22.9,18.1,83.87,13.5,Rainy,AgriMet Service,2025-12-06 15:51:42
WTH00000124,Kampala,2025-04-08,16.75,28.27,22.52,31.14,63.75,7.71,Stormy,AgriMet Service,2025-12-06 15:51:42
WTH00000125,Kampala,2025-04-09,20.6,32.47,26.73,0.0,78.93,10.88,Sunny,AgriMet Service,2025-12-06 15:51:42
WTH00000126,Kampala,2025-04-10,17.88,30.23,23.5,0.0,53.85,0.52,Cloudy,AgriMet Service,2025-12-06 15:51:42
WTH00000127,Kampala,2025-04-11,19.42,32.24,24.98,49.63,70.42,17.83,Stormy,AgriMet Service,2025-12-06 15:51:42
WTH00000128,Kampala,2025-04-12,17.96,32.28,24.83,9.79,77.06,1.7,Cloudy,AgriMet Service,2025-12-06 15:51:42
WTH00000129,Kampala,2025-04-13,17.85,30.33,23.47,0.0,69.12,16.53,Cloudy,AgriMet Service,2025-12-06 15:51:42
WTH00000130,Kampala,2025-04-14,15.8,30.75,23.36,9.16,65.02,11.04,Cloudy,AgriMet Service,2025-12-06 15:51:42
WTH00000131,Kampala,2025-04-15,18.2,29.54,23.45,0.0,61.9,13.91,Partly Cloudy,AgriMet Service,2025-12-06 15:51:42
WTH00000132,Kampala,2025-04-16,20.06,32.51,25.36,16.93,74.81,13.23,Rainy,AgriMet Service,2025-12-06 15:51:42
WTH00000133,Kampala,2025-04-17,17.31,28.35,22.59,0.0,66.1,2.5,Cloudy,AgriMet Service,2025-12-06 15:51:42
WTH00000134,Kampala,2025-04-18,18.17,29.31,24.21,26.56,88.05,7.12,Rainy,AgriMet Service,2025-12-06 15:51:42
WTH00000135,Kampala,2025-04-19,17.12,28.2,22.69,15.89,89.25,15.09,Rainy,AgriMet Service,2025-12-06 15:51:42
WTH00000136,Kampala,2025-04-20,17.9,30.89,24.7,16.32,69.8,17.77,Rainy,AgriMet Service,2025-12-06 15:51:42
WTH00000137,Kampala,2025-04-21,16.01,28.64,22.07,0.0,69.43,1.25,Sunny,AgriMet Service,2025-12-06 15:51:42
WTH00000138,Kampala,2025-04-22,15.77,28.49,22.0,52.21,50.45,17.3,Stormy,AgriMet Service,2025-12-06 15:51:42
WTH00000139,Kampala,2025-04-23,17.63,31.54,25.38,31.87,73.41,3.73,Stormy,AgriMet Service,2025-12-06 15:51:42
WTH00000140,Kampala,2025-04-24,21.15,32.35,26.82,36.39,70.94,12.72,Stormy,AgriMet Service,2025-12-06 15:51:42
WTH00000141,Kampala,2025-04-25,17.35,28.56,22.41,45.7,84.36,5.87,Stormy,AgriMet Service,2025-12-06 15:51:42
WTH00000142,Kampala,2025-04-26,20.76,31.87,26.31,49.96,67.44,1.8,Stormy,AgriMet Service,2025-12-06 15:51:42
WTH00000143,Kampala,2025-04-27,16.7,30.24,23.43,13.46,88.96,6.28,Rainy,AgriMet Service,2025-12-06 15:51:42
WTH00000144,Kampala,2025-04-28,17.39,29.52,22.63,12.39,61.12,5.46,Rainy,AgriMet Service,2025-12-06 15:51:42
WTH00000145,Kampala,2025-04-29,16.25,31.06,23.93,3.52,84.66,3.68,Cloudy,AgriMet Service,2025-12-06 15:51:42
WTH00000146,Kampala,2025-04-30,18.86,32.77,25.09,0.0,70.24,14.45,Cloudy,AgriMet Service,2025-12-06 15:51:42
WTH00000147,Kampala,2025-05-01,19.48,31.35,25.62,0.0,77.2,9.97,Partly Cloudy,AgriMet Service,2025-12-06 15:51:42
WTH00000148,Kampala,2025-05-02,17.8,31.75,25.02,31.73,88.73,17.67,Stormy,AgriMet Service,2025-12-06 15:51:42
WTH00000149,Kampala,2025-05-03,18.51,29.7,24.07,0.0,55.9,13.86,Partly Cloudy,AgriMet Service,2025-12-06 15:51:42
WTH00000150,Kampala,2025-05-04,18.13,30.5,23.98,7.67,65.91,16.16,Cloudy,AgriMet Service,2025-12-06 15:51:42
WTH00000151,Kampala,2025-05-05,19.89,32.21,26.11,0.0,55.65,0.2,Sunny,AgriMet Service,2025-12-06 15:51:42
WTH00000152,Kampala,2025-05-06,18.73,31.45,25.79,30.03,84.84,6.17,Stormy,AgriMet Service,2025-12-06 15:51:42
WTH00000153,Kampala,2025-05-07,17.55,31.56,24.74,0.0,85.22,13.54,Cloudy,AgriMet Service,2025-12-06 15:51:42
WTH00000154,Kampala,2025-05-08,15.82,28.92,22.0,0.0,72.07,10.0,Cloudy,AgriMet Service,2025-12-06 15:51:42
WTH00000155,Kampala,2025-05-09,16.25,29.29,22.99,0.0,68.56,19.72,Partly Cloudy,AgriMet Service,2025-12-06 15:51:42
WTH00000156,Kampala,2025-05-10,18.08,30.82,23.63,19.86,67.69,10.95,Rainy,AgriMet Service,2025-12-06 15:51:42
WTH00000157,Kampala,2025-05-11,17.6,32.18,24.27,33.62,70.19,2.97,Stormy,AgriMet Service,2025-12-06 15:51:42
WTH00000158,Kampala,2025-05-12,20.96,32.99,26.88,0.0,86.45,19.99,Cloudy,AgriMet Service,2025-12-06 15:51:42
WTH00000159,Kampala,2025-05-13,17.67,30.17,24.79,10.8,88.57,6.4,Rainy,AgriMet Service,2025-12-06 15:51:42
WTH00000160,Kampala,2025-05-14,15.65,29.36,23.58,0.0,73.19,12.27,Partly Cloudy,AgriMet Service,2025-12-06 15:51:42
WTH00000161,Kampala,2025-05-15,19.64,32.46,25.5,0.0,51.89,18.63,Partly Cloudy,AgriMet Service,2025-12-06 15:51:42
WTH00000162,Kampala,2025-05-16,18.32,31.76,24.83,14.88,77.58,7.29,Rainy,AgriMet Service,2025-12-06 15:51:42
WTH00000163,Kampala,2025-05-17,15.96,29.17,22.83,7.84,86.88,12.73,Cloudy,AgriMet Service,2025-12-06 15:51:42
WTH00000164,Kampala,2025-05-18,16.69,27.35,22.32,0.0,80.05,13.34,Partly Cloudy,AgriMet Service,2025-12-06 15:51:42
WTH00000165,Kampala,2025-05-19,20.03,32.94,25.8,0.0,57.25,13.81,Partly Cloudy,AgriMet Service,2025-12-06 15:51:42
WTH00000166,Kampala,2025-05-20,19.13,32.87,25.87,0.0,63.36,3.51,Cloudy,AgriMet Service,2025-12-06 15:51:42
WTH00000167,Kampala,2025-05-21,19.18,34.21,26.27,25.02,58.85,9.24,Rainy,AgriMet Service,2025-12-06 15:51:42
WTH00000168,Kampala,2025-05-22,19.71,31.95,26.05,35.87,55.57,13.22,Stormy,AgriMet Service,2025-12-06 15:51:42
WTH00000169,Kampala,2025-05-23,16.44,29.32,22.22,0.0,75.34,9.93,Sunny,AgriMet Service,2025-12-06 15:51:42
WTH00000170,Kampala,2025-05-24,20.39,33.31,25.88,0.0,56.61,7.26,Cloudy,AgriMet Service,2025-12-06 15:51:42
WTH00000171,Kampala,2025-05-25,18.3,31.32,24.62,6.58,65.18,4.26,Cloudy,AgriMet Service,2025-12-06 15:51:42
WTH00000172,Kampala,2025-05-26,14.31,29.06,22.17,0.0,57.22,7.69,Sunny,AgriMet Service,2025-12-06 15:51:42
WTH00000173,Kampala,2025-05-27,16.28,31.68,23.72,10.75,87.87,19.97,Rainy,AgriMet Service,2025-12-06 15:51:42
WTH00000174,Kampala,2025-05-28,16.48,29.0,22.8,0.0,84.19,2.2,Partly Cloudy,AgriMet Service,2025-12-06 15:51:42
WTH00000175,Kampala,2025-05-29,18.25,32.55,25.91,16.11,75.68,6.19,Rainy,AgriMet Service,2025-12-06 15:51:42
WTH00000176,Kampala,2025-05-30,20.44,32.23,26.82,49.72,88.03,13.95,Stormy,AgriMet Service,2025-12-06 15:51:42
WTH00000177,Kampala,2025-05-31,20.01,31.49,25.97,31.53,59.99,8.34,Stormy,AgriMet Service,2025-12-06 15:51:42
WTH00000178,Kampala,2025-06-01,19.69,32.37,26.09,0.0,65.1,17.09,Cloudy,AgriMet Service,2025-12-06 15:51:42
WTH00000179,Kampala,2025-06-02,18.01,31.83,24.58,0.0,69.61,18.95,Partly Cloudy,AgriMet Service,2025-12-06 15:51:42
WTH00000180,Kampala,2025-06-03,19.68,33.07,26.79,0.0,65.4,16.91,Sunny,AgriMet Service,2025-12-06 15:51:42
WTH00000181,Kampala,2025-06-04,17.92,31.02,23.7,0.0,83.6,8.3,Cloudy,AgriMet Service,2025-12-06 15:51:42
WTH00000182,Kampala,2025-06-05,21.68,33.25,26.86,0.0,60.98,8.18,Sunny,AgriMet Service,2025-12-06 15:51:42
WTH00000183,Kampala,2025-06-06,18.01,30.77,24.01,0.0,56.08,15.69,Partly Cloudy,AgriMet Service,2025-12-06 15:51:42
WTH00000184,Kampala,2025-06-07,18.26,32.24,25.24,8.88,64.31,8.07,Cloudy,AgriMet Service,2025-12-06 15:51:42
WTH00000185,Kampala,2025-06-08,17.7,29.53,23.31,0.0,70.81,9.45,Sunny,AgriMet Service,2025-12-06 15:51:42
WTH00000186,Kampala,2025-06-09,17.49,29.03,22.66,0.0,53.51,19.84,Sunny,AgriMet Service,2025-12-06 15:51:42
WTH00000187,Kampala,2025-06-10,16.97,28.15,22.12,0.0,80.06,1.94,Partly Cloudy,AgriMet Service,2025-12-06 15:51:42
WTH00000188,Kampala,2025-06-11,16.57,30.03,24.01,25.4,85.92,12.32,Rainy,AgriMet Service,2025-12-06 15:51:42
WTH00000189,Kampala,2025-06-12,16.27,31.17,24.13,0.0,63.42,1.31,Cloudy,AgriMet Service,2025-12-06 15:51:42
WTH00000190,Kampala,2025-06-13,18.92,30.49,24.37,0.0,86.86,2.85,Partly Cloudy,AgriMet Service,2025-12-06 15:51:42
WTH00000191,Kampala,2025-06-14,17.63,29.75,23.7,0.0,83.27,2.06,Partly Cloudy,AgriMet Service,2025-12-06 15:51:42
WTH00000192,Kampala,2025-06-15,18.74,31.21,24.55,0.0,69.31,11.82,Cloudy,AgriMet Service,2025-12-06 15:51:42
WTH00000193,Kampala,2025-06-16,19.79,31.6,25.12,0.0,87.89,8.44,Cloudy,AgriMet Service,2025-12-06 15:51:42
WTH00000194,Kampala,2025-06-17,18.45,32.71,25.55,18.58,58.41,1.14,Rainy,AgriMet Service,2025-12-06 15:51:42
WTH00000195,Kampala,2025-06-18,18.18,33.28,26.13,0.0,65.64,16.4,Cloudy,AgriMet Service,2025-12-06 15:51:42
WTH00000196,Kampala,2025-06-19,17.51,31.36,23.79,5.97,80.0,5.99,Cloudy,AgriMet Service,2025-12-06 15:51:42
WTH00000197,Kampala,2025-06-20,16.59,29.32,22.36,0.0,65.83,14.09,Partly Cloudy,AgriMet Service,2025-12-06 15:51:42
